primaryTitle,Genres,TotalGross,Year,Distributor,Release Month,CPI,Gas,Unemploy,Per Savings
The X Files: I Want to Believe,Crime,"$20,982,478 ",2008,Twentieth Century Fox,7/1/2008,219.016,4.65,5.8,4
The X Files: I Want to Believe,Drama,"$20,982,478 ",2008,Twentieth Century Fox,7/1/2008,219.016,4.65,5.8,4
The Young Black Stallion,Adventure,"$6,751,389 ",2004,Walt Disney Studios Motion Pictures,12/1/2004,191.7,1.9,5.4,6.6
The Young Black Stallion,Drama,"$6,751,389 ",2004,Walt Disney Studios Motion Pictures,12/1/2004,191.7,1.9,5.4,6.6
There Will Be Blood,Drama,"$40,222,514 ",2008,Paramount Vantage,12/1/2008,211.398,2.64,7.3,6.2
They,Horror,"$12,840,842 ",2002,Dimension Films,11/1/2002,181.5,1.22,5.9,5.8
They,Mystery,"$12,840,842 ",2002,Dimension Films,11/1/2002,181.5,1.22,5.9,5.8
Thir13en Ghosts,Fantasy,"$41,867,960 ",2001,Warner Bros.,10/1/2001,177.6,1.23,5.3,3.1
Thir13en Ghosts,Horror,"$41,867,960 ",2001,Warner Bros.,10/1/2001,177.6,1.23,5.3,3.1
Thirteen,Drama,"$4,601,043 ",2003,Fox Searchlight Pictures,8/1/2003,184.5,1.28,6.1,5.9
Thirteen Conversations About One Thing,Drama,"$3,288,164 ",2002,Sony Pictures Classics,5/1/2002,179.5,1.16,5.8,6.2
This Christmas,Comedy,"$49,121,934 ",2007,Screen Gems,11/1/2007,210.834,3.17,4.7,2.8
This Christmas,Drama,"$49,121,934 ",2007,Screen Gems,11/1/2007,210.834,3.17,4.7,2.8
This Is It,Short,"$72,091,016 ",2009,Sony Pictures Entertainment (SPE),10/1/2009,216.509,2.6,10,5.2
Thunderbirds,Action,"$6,880,917 ",2004,Universal Pictures,7/1/2004,189.1,1.54,5.5,5
Thunderbirds,Comedy,"$6,880,917 ",2004,Universal Pictures,7/1/2004,189.1,1.54,5.5,5
Thunderbirds,Adventure,"$6,880,917 ",2004,Universal Pictures,7/1/2004,189.1,1.54,5.5,5
Timeline,Action,"$19,481,943 ",2003,Paramount Pictures,11/1/2003,185,1.33,5.8,5.3
Timeline,Sci-Fi,"$19,481,943 ",2003,Paramount Pictures,11/1/2003,185,1.33,5.8,5.3
Timeline,Adventure,"$19,481,943 ",2003,Paramount Pictures,11/1/2003,185,1.33,5.8,5.3
TMNT,Action,"$54,149,098 ",2007,Warner Bros.,3/1/2007,205.288,2.51,4.4,3.9
TMNT,Animation,"$54,149,098 ",2007,Warner Bros.,3/1/2007,205.288,2.51,4.4,3.9
TMNT,Adventure,"$54,149,098 ",2007,Warner Bros.,3/1/2007,205.288,2.51,4.4,3.9
Tomcats,Comedy,"$13,558,739 ",2001,Revolution Studios,3/1/2001,176.1,1.39,4.3,5.3
Torque,Action,"$21,215,059 ",2004,Warner Bros.,1/1/2004,186.3,1.51,5.7,4.9
Torque,Crime,"$21,215,059 ",2004,Warner Bros.,1/1/2004,186.3,1.51,5.7,4.9
Torque,Comedy,"$21,215,059 ",2004,Warner Bros.,1/1/2004,186.3,1.51,5.7,4.9
Tortilla Soup,Comedy,"$4,467,615 ",2001,The Samuel Goldwyn Company,8/1/2001,177.4,1.24,4.9,6.6
Tortilla Soup,Drama,"$4,467,615 ",2001,The Samuel Goldwyn Company,8/1/2001,177.4,1.24,4.9,6.6
Touching the Void,Adventure,"$4,593,598 ",2004,IFC Films,1/1/2004,186.3,1.51,5.7,4.9
Touching the Void,Documentary,"$4,593,598 ",2004,IFC Films,1/1/2004,186.3,1.51,5.7,4.9
Town & Country,Comedy,"$6,719,973 ",2001,New Line Cinema,4/1/2001,176.4,1.37,4.4,5.1
Town & Country,Romance,"$6,719,973 ",2001,New Line Cinema,4/1/2001,176.4,1.37,4.4,5.1
Toy Story,Short,"$30,702,446 ",2009,Walt Disney Studios Motion Pictures,10/1/2009,216.509,2.6,10,5.2
Traffic,Crime,"$124,115,725 ",2001,USA Films,12/1/2001,177.4,1.12,5.7,3.8
Traffic,Drama,"$124,115,725 ",2001,USA Films,12/1/2001,177.4,1.12,5.7,3.8
Training Day,Action,"$76,631,907 ",2001,Warner Bros.,10/1/2001,177.6,1.23,5.3,3.1
Training Day,Crime,"$76,631,907 ",2001,Warner Bros.,10/1/2001,177.6,1.23,5.3,3.1
Traitor,Animation,"$23,530,831 ",2008,Overture Films,8/1/2008,218.69,4.22,6.1,3.5
Transamerica,Adventure,"$9,015,303 ",2006,The Weinstein Company,12/1/2006,203.1,2.46,4.4,3.5
Transamerica,Drama,"$9,015,303 ",2006,The Weinstein Company,12/1/2006,203.1,2.46,4.4,3.5
Transamerica,Comedy,"$9,015,303 ",2006,The Weinstein Company,12/1/2006,203.1,2.46,4.4,3.5
Transformers,Action,"$319,246,193 ",2007,DreamWorks,7/1/2007,207.603,2.62,4.7,3.4
Transformers,Family,"$319,246,193 ",2007,DreamWorks,7/1/2007,207.603,2.62,4.7,3.4
Transformers: Revenge of the Fallen,Action,"$402,111,870 ",2009,DreamWorks,6/1/2009,214.79,2.45,9.5,6.2
Transformers: Revenge of the Fallen,Sci-Fi,"$402,111,870 ",2009,DreamWorks,6/1/2009,214.79,2.45,9.5,6.2
Transformers: Revenge of the Fallen,Adventure,"$402,111,870 ",2009,DreamWorks,6/1/2009,214.79,2.45,9.5,6.2
Transporter 2,Action,"$43,095,856 ",2005,Twentieth Century Fox,9/1/2005,198.8,2.59,5,2.7
Transporter 2,Crime,"$43,095,856 ",2005,Twentieth Century Fox,9/1/2005,198.8,2.59,5,2.7
Transporter 3,Action,"$31,715,062 ",2008,Lionsgate,11/1/2008,213.153,3,6.8,6.3
Transporter 3,Crime,"$31,715,062 ",2008,Lionsgate,11/1/2008,213.153,3,6.8,6.3
Trapped,Action,"$7,073,251 ",2002,Sony Pictures Entertainment (SPE),9/1/2002,180.8,1.17,5.7,5.9
Trapped,Drama,"$7,073,251 ",2002,Sony Pictures Entertainment (SPE),9/1/2002,180.8,1.17,5.7,5.9
Treasure Planet,Adventure,"$38,176,783 ",2002,Walt Disney Studios Motion Pictures,11/1/2002,181.5,1.22,5.9,5.8
Treasure Planet,Family,"$38,176,783 ",2002,Walt Disney Studios Motion Pictures,11/1/2002,181.5,1.22,5.9,5.8
Treasure Planet,Animation,"$38,176,783 ",2002,Walt Disney Studios Motion Pictures,11/1/2002,181.5,1.22,5.9,5.8
Tristan + Isolde,Action,"$14,734,633 ",2006,Twentieth Century Fox,1/1/2006,199.3,2.42,4.7,3.7
Tristan + Isolde,Drama,"$14,734,633 ",2006,Twentieth Century Fox,1/1/2006,199.3,2.42,4.7,3.7
Tropic Thunder,Action,"$110,515,313 ",2008,DreamWorks,8/1/2008,218.69,4.22,6.1,3.5
Tropic Thunder,War,"$110,515,313 ",2008,DreamWorks,8/1/2008,218.69,4.22,6.1,3.5
Tropic Thunder,Comedy,"$110,515,313 ",2008,DreamWorks,8/1/2008,218.69,4.22,6.1,3.5
Troy,Drama,"$133,378,256 ",2004,Warner Bros.,5/1/2004,188.2,1.53,5.6,5.1
Troy,History,"$133,378,256 ",2004,Warner Bros.,5/1/2004,188.2,1.53,5.6,5.1
Tuck Everlasting,Drama,"$19,161,999 ",2002,Walt Disney Studios Motion Pictures,10/1/2002,181.2,1.2,5.7,5.8
Tuck Everlasting,Family,"$19,161,999 ",2002,Walt Disney Studios Motion Pictures,10/1/2002,181.2,1.2,5.7,5.8
Tupac: Resurrection,Biography,"$7,718,961 ",2003,Paramount Pictures,11/1/2003,185,1.33,5.8,5.3
Tupac: Resurrection,Documentary,"$7,718,961 ",2003,Paramount Pictures,11/1/2003,185,1.33,5.8,5.3
Turistas,Horror,"$7,027,762 ",2006,Fox Atomic,12/1/2006,203.1,2.46,4.4,3.5
Turistas,Mystery,"$7,027,762 ",2006,Fox Atomic,12/1/2006,203.1,2.46,4.4,3.5
Twilight,Drama,"$192,769,854 ",2008,Summit Entertainment,11/1/2008,213.153,3,6.8,6.3
Twilight,War,"$192,769,854 ",2008,Summit Entertainment,11/1/2008,213.153,3,6.8,6.3
Twisted,\N,"$25,198,598 ",2004,Paramount Pictures,2/1/2004,186.7,1.56,5.6,4.9
Two Brothers,Adventure,"$19,176,754 ",2004,Universal Pictures,6/1/2004,188.9,1.54,5.6,5.6
Two Brothers,Drama,"$19,176,754 ",2004,Universal Pictures,6/1/2004,188.9,1.54,5.6,5.6
Two Can Play That Game,Comedy,"$22,235,901 ",2001,Screen Gems,9/1/2001,178.1,1.29,5,7
Two Can Play That Game,Romance,"$22,235,901 ",2001,Screen Gems,9/1/2001,178.1,1.29,5,7
Two for the Money,Crime,"$22,991,379 ",2005,Universal Pictures,10/1/2005,199.1,2.63,5,2.9
Two for the Money,Drama,"$22,991,379 ",2005,Universal Pictures,10/1/2005,199.1,2.63,5,2.9
Two Lovers,Drama,"$3,149,034 ",2009,Magnolia Pictures,2/1/2009,212.705,2.45,8.3,5.6
Two Lovers,Romance,"$3,149,034 ",2009,Magnolia Pictures,2/1/2009,212.705,2.45,8.3,5.6
Two Weeks Notice,Comedy,"$93,354,851 ",2002,Warner Bros.,12/1/2002,181.8,1.27,6,5.4
Two Weeks Notice,Romance,"$93,354,851 ",2002,Warner Bros.,12/1/2002,181.8,1.27,6,5.4
Tyler Perry's Why Did I Get Married?,Comedy,"$55,204,525 ",2007,Lionsgate,10/1/2007,209.19,2.81,4.7,3
Tyler Perry's Why Did I Get Married?,Drama,"$55,204,525 ",2007,Lionsgate,10/1/2007,209.19,2.81,4.7,3
U2,Music,"$10,363,341 ",2008,National Geographic Entertainment,1/1/2008,212.174,3.34,5,3.2
Ultimate X: The Movie,Documentary,"$4,197,492 ",2002,Walt Disney Studios Motion Pictures,5/1/2002,179.5,1.16,5.8,6.2
Ultimate X: The Movie,Sport,"$4,197,492 ",2002,Walt Disney Studios Motion Pictures,5/1/2002,179.5,1.16,5.8,6.2
Ultraviolet,Action,"$18,535,812 ",2006,Screen Gems,3/1/2006,199.7,2.43,4.7,4.1
